play_type,reward_type,outcome_index,reward_amount,bonus_penalty_threshold,bonus_penalty_cap_floor
batting,base_reward,Dot ball,-1,,
batting,base_reward,Single,0,,
batting,base_reward,Two,1,,
batting,base_reward,Three,2,,
batting,base_reward,Four,4,,
batting,base_reward,Five,1,,
batting,base_reward,Six,8,,
batting,base_reward,Dismissal,-5,,
batting,bonus,SR Bonus,,120%,50%
batting,penalty,SR Penalty,,80%,50%
bowling,base_reward,Dot ball,2,,
bowling,base_reward,Single,1,,
bowling,base_reward,Two,0,,
bowling,base_reward,Three,-1,,
bowling,base_reward,Four,-3,,
bowling,base_reward,Five,0,,
bowling,base_reward,Six,-6,,
bowling,base_reward,1 Wicket,4,,
bowling,base_reward,2 Wickets,9,,
bowling,base_reward,3 Wickets,15,,
bowling,base_reward,4 Wickets,22,,
bowling,base_reward,5 Wickets,30,,
bowling,base_reward,6 Wickets,36,,
bowling,base_reward,7 Wickets,42,,
bowling,base_reward,8 Wickets,48,,
bowling,base_reward,9 Wickets,54,,
bowling,base_reward,10 Wickets,60,,
bowling,base_reward,No ball,-3,,
bowling,base_reward,Wide,-1,,
bowling,bonus,ER Bonus,,80%,50%
bowling,penalty,ER Penalty,,120%,50%
fielding,base_reward,Catch,1,,
fielding,base_reward,Stumping,2,,
fielding,base_reward,Direct run out,2,,
fielding,base_reward,Indirect run out,1,,