tournament_key,date,venue,season,team1,team2,stage
psl,13/02/2023,"Multan Cricket Stadium, Multan",2023,Multan Sultans,Lahore Qalandars,league
psl,14/02/2023,"National Stadium, Karachi",2023,Karachi Kings,Peshawar Zalmi,league
psl,15/02/2023,"Multan Cricket Stadium, Multan",2023,Multan Sultans,Quetta Gladiators,league
psl,16/02/2023,"National Stadium, Karachi",2023,Karachi Kings,Islamabad United,league
psl,17/02/2023,"Multan Cricket Stadium, Multan",2023,Multan Sultans,Peshawar Zalmi,league
psl,18/02/2023,"National Stadium, Karachi",2023,Karachi Kings,Quetta Gladiators,league
psl,19/02/2023,"Multan Cricket Stadium, Multan",2023,Multan Sultans,Islamabad United,league
psl,19/02/2023,"National Stadium, Karachi",2023,Karachi Kings,Lahore Qalandars,league
psl,20/02/2023,"National Stadium, Karachi",2023,Quetta Gladiators,Peshawar Zalmi,league
psl,21/02/2023,"National Stadium, Karachi",2023,Quetta Gladiators,Lahore Qalandars,league
psl,22/02/2023,"Multan Cricket Stadium, Multan",2023,Multan Sultans,Karachi Kings,league
psl,23/02/2023,"National Stadium, Karachi",2023,Peshawar Zalmi,Islamabad United,league
psl,24/02/2023,"National Stadium, Karachi",2023,Quetta Gladiators,Islamabad United,league
psl,26/02/2023,"National Stadium, Karachi",2023,Karachi Kings,Multan Sultans,league
psl,26/02/2023,"Gaddafi Stadium, Lahore",2023,Lahore Qalandars,Peshawar Zalmi,league
psl,27/02/2023,"Gaddafi Stadium, Lahore",2023,Lahore Qalandars,Islamabad United,league
psl,01/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Peshawar Zalmi,Karachi Kings,league
psl,02/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Lahore Qalandars,Quetta Gladiators,league
psl,03/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Islamabad United,Karachi Kings,league
psl,04/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Lahore Qalandars,Multan Sultans,league
psl,05/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Islamabad United,Quetta Gladiators,league
psl,06/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Quetta Gladiators,Karachi Kings,league
psl,07/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Peshawar Zalmi,Lahore Qalandars,league
psl,07/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Islamabad United,Multan Sultans,league
psl,08/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Peshawar Zalmi,Quetta Gladiators,league
psl,09/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Islamabad United,Lahore Qalandars,league
psl,10/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Peshawar Zalmi,Multan Sultans,league
psl,11/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Quetta Gladiators,Multan Sultans,league
psl,12/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Islamabad United,Peshawar Zalmi,league
psl,12/03/2023,"Rawalpindi Cricket Stadium, Rawalpindi",2023,Lahore Qalandars,Karachi Kings,league
psl,15/03/2023,"Gaddafi Stadium, Lahore",2023,,,Qualifier 1
psl,16/03/2023,"Gaddafi Stadium, Lahore",2023,,,Eliminator
psl,17/03/2023,"Gaddafi Stadium, Lahore",2023,,,Qualifier 2
psl,19/03/2023,"Gaddafi Stadium, Lahore",2023,,,Final